,user_id,event_datetime_min,source,day,acquisition_cost,cohort
0,0001f83c-c6ac-4621-b7f0-8a28b283ac30,2020-05-06 01:07:37,facebook_ads,2020-05-06,0.7541616062608496,All users
1,00151b4f-ba38-44a8-a650-d7cf130a0105,2020-05-06 03:09:12,yandex_direct,2020-05-06,0.46420630969882287,All users
2,001aaea6-3d14-43f1-8ca8-7f48820f17aa,2020-05-05 18:08:52,youtube_channel_reklama,2020-05-05,0.3907590109856085,All users
3,001d39dc-366c-4021-9604-6a3b9ff01e25,2020-05-05 21:02:05,instagram_new_adverts,2020-05-05,0.6318158931903989,All users
4,002f508f-67b6-479f-814b-b05f00d4e995,2020-05-05 13:49:58,facebook_ads,2020-05-05,0.7901361381072168,All users
5,003b80c6-4164-4157-bb2a-03d0181d39c4,2020-05-04 09:10:22,yandex_direct,2020-05-04,0.46638084405302827,All users
6,003ee7e8-6356-4286-a715-62f22a18d2a1,2020-05-05 08:31:04,instagram_new_adverts,2020-05-05,0.6318158931903989,All users
7,004074f8-251a-4776-922c-8348dca1a2f6,2020-05-04 01:07:35,facebook_ads,2020-05-04,0.790441542329484,All users
8,00440efd-aa50-4b4b-aae8-ffcd1782729d,2020-05-04 07:20:40,facebook_ads,2020-05-04,0.790441542329484,All users
9,00464e5e-28ed-4be6-bf44-517ef7b3937b,2020-05-04 08:35:29,yandex_direct,2020-05-04,0.46638084405302827,All users
10,0056c007-c082-43cc-bdef-afc49bca4cb9,2020-05-10 11:49:47,instagram_new_adverts,2020-05-10,0.6682199957465456,All users
11,005ff87b-b475-4da7-862e-57ab91adbff4,2020-05-04 01:41:43,youtube_channel_reklama,2020-05-04,0.39635684365376583,All users
12,00606a1c-51e1-48d1-b053-77be528527c0,2020-05-05 09:37:41,yandex_direct,2020-05-05,0.45914858781827894,All users
13,006380d6-67a6-45de-ab1e-6eb54ad8dbe8,2020-05-04 16:43:39,youtube_channel_reklama,2020-05-04,0.39635684365376583,All users
14,00704880-11b2-4868-b52d-c3ee6edf4b90,2020-05-06 15:19:07,youtube_channel_reklama,2020-05-06,0.40175339181250036,All users
15,00734e08-ebce-4ab4-be33-47fe947c0d51,2020-05-05 20:21:59,instagram_new_adverts,2020-05-05,0.6318158931903989,All users
16,007ad796-add4-41a5-bc2a-e11561f16cd6,2020-05-04 09:54:28,yandex_direct,2020-05-04,0.46638084405302827,All users
17,007f9ffa-4c39-408b-a2e1-a84ddc10bee1,2020-05-04 01:35:55,youtube_channel_reklama,2020-05-04,0.39635684365376583,All users
